Date,Map,Game Number,Player,Team,Score,Kills,Assists,Deaths,Result
3/2/21,Guardian,1,Reif,Blue,16,16,9,13,Win
3/2/21,Guardian,1,Foster,Blue,10,10,12,11,Win
3/2/21,Guardian,1,Nick,Blue,15,15,2,7,Win
3/2/21,Guardian,1,Tape,Blue,9,9,15,12,Win
3/2/21,Guardian,1,JDO,Red,9,9,10,10,Loss
3/2/21,Guardian,1,Monkey,Red,12,12,12,15,Loss
3/2/21,Guardian,1,Rat,Red,8,8,7,10,Loss
3/2/21,Guardian,1,Kev,Red,14,14,8,16,Loss
3/2/21,Guardian,2,Reif,Blue,16,16,7,9,Loss
3/2/21,Guardian,2,Foster,Blue,13,13,12,17,Loss
3/2/21,Guardian,2,Nick,Blue,11,11,7,11,Loss
3/2/21,Guardian,2,Tape,Blue,4,4,11,14,Loss
3/2/21,Guardian,2,JDO,Red,8,8,10,15,Win
3/2/21,Guardian,2,Monkey,Red,18,18,8,8,Win
3/2/21,Guardian,2,Rat,Red,14,14,8,11,Win
3/2/21,Guardian,2,Kev,Red,10,11,13,11,Win
3/2/21,Guardian,3,Reif,Blue,6,6,9,11,Win
3/2/21,Guardian,3,Foster,Blue,13,13,9,7,Win
3/2/21,Guardian,3,Nick,Blue,13,13,10,11,Win
3/2/21,Guardian,3,Tape,Blue,18,18,6,13,Win
3/2/21,Guardian,3,JDO,Red,17,17,5,14,Loss
3/2/21,Guardian,3,Monkey,Red,7,8,10,15,Loss
3/2/21,Guardian,3,Rat,Red,7,8,8,11,Loss
3/2/21,Guardian,3,Kev,Red,9,9,7,12,Loss
3/2/21,Guardian,4,Reif,Blue,15,15,8,14,Loss
3/2/21,Guardian,4,Foster,Blue,9,9,12,14,Loss
3/2/21,Guardian,4,Nick,Blue,5,5,7,11,Loss
3/2/21,Guardian,4,Tape,Blue,14,14,3,11,Loss
3/2/21,Guardian,4,JDO,Red,12,12,6,7,Win
3/2/21,Guardian,4,Monkey,Red,12,12,7,14,Win
3/2/21,Guardian,4,Rat,Red,10,10,10,14,Win
3/2/21,Guardian,4,Kev,Red,16,16,9,8,Win
3/2/21,Guardian,5,Reif,Blue,20,20,6,14,Loss
3/2/21,Guardian,5,Foster,Blue,14,14,8,12,Loss
3/2/21,Guardian,5,Nick,Blue,6,6,7,13,Loss
3/2/21,Guardian,5,Tape,Blue,8,8,13,12,Loss
3/2/21,Guardian,5,JDO,Red,10,10,13,11,Win
3/2/21,Guardian,5,Monkey,Red,19,19,4,9,Win
3/2/21,Guardian,5,Rat,Red,12,12,14,15,Win
3/2/21,Guardian,5,Kev,Red,10,10,7,14,Win
3/2/21,Blackout,6,Reif,Blue,10,11,4,20,Loss
3/2/21,Blackout,6,Foster,Blue,7,7,13,13,Loss
3/2/21,Blackout,6,Nick,Blue,9,9,6,12,Loss
3/2/21,Blackout,6,Tape,Blue,9,9,4,9,Loss
3/2/21,Blackout,6,JDO,Red,20,20,4,5,Win
3/2/21,Blackout,6,Monkey,Red,12,13,8,11,Win
3/2/21,Blackout,6,Rat,Red,12,14,6,12,Win
3/2/21,Blackout,6,Kev,Red,6,6,5,11,Win
3/2/21,Blackout,7,Reif,Blue,20,20,7,13,Win
3/2/21,Blackout,7,Foster,Blue,11,11,6,16,Win
3/2/21,Blackout,7,Nick,Blue,10,10,10,8,Win
3/2/21,Blackout,7,Tape,Blue,9,9,6,12,Win
3/2/21,Blackout,7,JDO,Red,13,13,6,5,Loss
3/2/21,Blackout,7,Monkey,Red,13,13,6,14,Loss
3/2/21,Blackout,7,Rat,Red,11,11,11,18,Loss
3/2/21,Blackout,7,Kev,Red,12,12,7,13,Loss
3/2/21,Blackout,8,Reif,Blue,18,18,7,17,Win
3/2/21,Blackout,8,Foster,Blue,8,8,13,14,Win
3/2/21,Blackout,8,Nick,Blue,11,11,9,8,Win
3/2/21,Blackout,8,Tape,Blue,13,13,8,11,Win
3/2/21,Blackout,8,JDO,Red,17,17,4,9,Loss
3/2/21,Blackout,8,Monkey,Red,14,14,11,16,Loss
3/2/21,Blackout,8,Rat,Red,8,8,7,16,Loss
3/2/21,Blackout,8,Kev,Red,10,11,3,10,Loss
3/2/21,Blackout,9,Reif,Blue,19,19,11,15,Win
